stark,star1,star2,star3,totexpk,treadssk,tmathssk,totexp1,treadss1,tmathss1,totexp2,treadss2,tmathss2,treadss3,tmathss3,totexp3,schidkn,schid1n,schid2n,schid3n,tscorek,tscore1,tscore2,tscore3,sck,sc1,sc2,sc3,rak,ra1,ra2,ra3,white,black,other,boy,freelunk,freelun1,freelun2,freelun3
no,yes,yes,yes,,,,17,505,493,28,539,590,597,589,13,,48,48,48,,998,1129,1186,,0,1,1,,0,0,0,1,0,0,0,,0,,1
no,yes,no,no,,,,1,472,481,,,,,,,,51,,,,953,,,,0,,,,0,,,0,1,0,0,,1,,
no,no,yes,yes,,,,,,,2,520,540,578,606,26,,,19,19,,,1060,1184,,,0,0,,,1,1,0,1,0,0,,,1,1
no,no,no,yes,,,,,,,,,,,,21,,,,15,,,,,,,,1,,,,0,0,1,0,0,,,,
no,yes,no,no,,,,14,571,567,,,,,,,,51,,,,1138,,,,1,,,,0,,,0,1,0,1,,1,,
yes,yes,yes,yes,3,451,500,5,548,567,18,596,587,606,667,13,56,56,78,78,951,1115,1183,1273,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
no,yes,no,no,,,,13,453,484,,,,,,,,8,,,,937,,,,0,,,,1,,,1,0,0,1,,1,,
yes,yes,yes,yes,11,478,439,31,514,461,14,569,584,606,596,14,11,11,11,11,917,975,1153,1202,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1
no,no,no,yes,,,,,,,,,,606,568,2,,,,71,,,,1174,,,,0,,,,1,1,0,0,1,,,,1
yes,yes,yes,yes,10,455,528,4,530,507,1,608,546,654,606,24,66,66,66,66,983,1037,1154,1260,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1
no,no,no,yes,,,,,,,,,,564,564,13,,,,66,,,,1128,,,,0,,,,1,1,0,0,1,,,,0
no,no,no,yes,,,,,,,,,,680,603,17,,,,38,,,,1283,,,,0,,,,1,1,0,0,0,,,,1
yes,yes,yes,yes,13,430,473,19,490,567,14,622,615,633,645,3,38,38,38,38,903,1057,1237,1278,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
yes,yes,yes,yes,6,437,468,16,503,512,8,552,574,578,554,12,69,69,69,69,905,1015,1126,1132,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0
yes,no,no,yes,9,,,,,,,,,661,631,,28,,,23,,,,1292,0,,,0,0,,,0,0,1,0,0,1,,,1
no,yes,yes,yes,,,,15,548,532,33,,,639,626,12,,10,80,80,,1080,,1265,,1,1,1,,0,0,0,1,0,0,0,,1,,1
yes,yes,yes,yes,first year teacher,474,559,16,629,584,10,659,632,728,684,6,43,43,43,43,1033,1213,1291,1412,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0
yes,yes,yes,yes,6,424,494,6,519,512,4,559,590,606,597,13,71,71,71,71,918,1031,1149,1203,1,1,1,1,0,0,0,0,1,0,0,1,0,1,,0
yes,yes,yes,yes,18,490,528,13,571,572,9,586,561,631,589,15,52,52,52,52,1018,1143,1147,1220,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
yes,no,no,no,13,439,484,,,,,,,,,,54,,,,923,,,,0,,,,0,,,,1,0,0,1,0,,,
yes,no,no,no,12,424,459,,,,,,,,,,12,,,,883,,,,0,,,,1,,,,1,0,0,0,1,,,
yes,yes,yes,no,1,437,528,23,503,497,10,559,543,,,,21,21,21,,965,1000,1102,,0,0,0,,0,0,0,,0,1,0,0,1,1,1,
no,yes,yes,yes,,,,42,503,538,15,566,552,565,580,9,,63,63,63,,1041,1118,1145,,0,0,0,,0,0,0,1,0,0,0,,1,1,1
yes,yes,yes,yes,8,422,478,14,544,502,6,643,568,647,610,2,76,77,77,77,900,1046,1211,1257,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
yes,yes,yes,yes,13,424,559,16,501,545,18,577,593,622,691,12,79,79,79,79,983,1046,1170,1313,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0
no,yes,yes,no,,,,8,521,557,17,,,,,,,9,9,,,1078,,,,0,0,,,1,1,,1,0,0,1,,0,,
yes,yes,no,no,5,,,2,477,484,,,,,,,1,1,,,,961,,,0,0,,,0,0,,,1,0,0,1,0,0,,
no,no,yes,yes,,,,,,,19,481,500,536,546,first year teacher,,,13,13,,,981,1082,,,0,0,,,0,0,1,0,0,0,,,1,
yes,no,no,no,13,431,454,,,,,,,,,,8,,,,885,,,,0,,,,0,,,,1,0,0,1,0,,,
no,no,yes,yes,,,,,,,40,596,620,608,672,5,,,29,29,,,1216,1280,,,0,0,,,0,0,0,1,0,1,,,1,1
no,no,no,yes,,,,,,,,,,,,2,,,,29,,,,,,,,0,,,,1,0,1,0,0,,,,1
yes,yes,no,no,3,451,473,8,439,463,,,,,,,66,66,,,924,902,,,0,0,,,1,1,,,1,0,0,1,0,1,,
yes,yes,yes,yes,14,456,602,5,492,515,9,549,587,580,614,13,59,59,59,59,1058,1007,1136,1194,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1
no,yes,yes,yes,,,,15,521,502,20,542,530,612,549,14,,60,60,60,,1023,1072,1161,,0,0,1,,1,1,0,1,0,0,1,,1,1,1
no,no,yes,yes,,,,,,,21,568,548,588,582,32,,,51,51,,,1116,1170,,,0,0,,,1,1,1,0,0,0,,,0,0
yes,no,no,no,11,421,459,,,,,,,,,,31,,,,880,,,,0,,,,1,,,,0,1,0,0,1,,,
yes,yes,yes,yes,10,463,576,5,478,567,35,582,611,622,642,14,27,27,27,27,1039,1045,1193,1264,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1
yes,yes,yes,no,8,425,520,16,457,510,12,,,,,,17,17,17,,945,967,,,0,0,0,,1,0,0,,0,1,0,0,0,1,1,
yes,yes,yes,yes,8,522,559,8,651,627,19,669,659,675,700,16,9,9,9,9,1081,1278,1328,1375,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
yes,yes,yes,yes,5,413,459,12,553,553,1,611,603,610,642,18,39,39,39,39,872,1106,1214,1252,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
yes,yes,no,no,13,416,513,11,536,578,,,,,,,55,55,,,929,1114,,,0,1,,,0,0,,,1,0,0,1,0,0,,
no,no,yes,no,,,,,,,2,555,611,,,,,,33,,,,1166,,,,0,,,,0,,0,1,0,1,,,1,
no,yes,yes,yes,,,,36,499,481,31,577,577,612,614,18,,33,33,33,,980,1154,1226,,0,0,0,,1,1,1,0,1,0,1,,1,1,1
no,yes,no,no,,,,23,457,449,,,,,,,,51,,,,906,,,,1,,,,0,,,1,0,0,0,,0,,
yes,no,no,no,first year teacher,419,423,,,,,,,,,,27,,,,842,,,,0,,,,0,,,,0,1,0,0,1,,,
yes,no,no,no,3,431,494,,,,,,,,,,58,,,,925,,,,0,,,,1,,,,1,0,0,0,0,,,
no,yes,yes,yes,,,,13,,500,11,,,,543,16,,70,70,70,,,,,,0,0,0,,1,1,1,1,0,0,0,,1,1,1
no,no,yes,yes,,,,,,,13,539,533,531,562,13,,,26,26,,,1072,1093,,,0,0,,,1,1,0,1,0,1,,,1,1
no,no,no,yes,,,,,,,,,,608,672,36,,,,74,,,,1280,,,,0,,,,1,1,0,0,0,,,,0
yes,yes,yes,yes,8,418,439,12,475,497,13,526,522,577,585,8,49,50,50,50,857,972,1048,1162,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
yes,no,no,no,15,422,434,,,,,,,,,,7,,,,856,,,,0,,,,0,,,,0,1,0,0,1,,,
no,yes,yes,no,,,,2,460,493,22,515,525,,,,,23,23,,,953,1040,,,0,0,,,0,0,,0,1,0,1,,0,0,
yes,yes,yes,yes,8,414,434,7,509,497,15,588,517,590,582,13,5,5,5,5,848,1006,1105,1172,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0
no,yes,no,no,,,,1,466,493,,,,,,,,29,,,,959,,,,0,,,,1,,,0,1,0,1,,1,,
no,no,yes,yes,,,,,,,19,,,572,599,16,,,9,9,,,,1171,,,0,0,,,1,1,1,0,0,1,,,0,1
yes,yes,no,no,11,433,454,1,454,458,,,,,,,37,37,,,887,912,,,0,0,,,1,0,,,0,1,0,1,1,1,,
no,yes,no,no,,,,6,544,572,,,,,,,,50,,,,1116,,,,1,,,,0,,,1,0,0,1,,0,,
no,no,no,yes,,,,,,,,,,,,8,,,,25,,,,,,,,0,,,,0,0,1,0,0,,,,1
no,yes,no,no,,,,5,519,523,,,,,,,,68,,,,1042,,,,0,,,,0,,,0,1,0,0,,1,,
no,no,yes,no,,,,,,,16,503,515,,,,,,16,,,,1018,,,,0,,,,1,,0,1,0,1,,,1,
yes,yes,yes,no,10,450,484,12,,510,14,,,,,,70,70,70,,934,,,,0,1,1,,0,0,0,,1,0,0,0,0,0,0,
yes,yes,yes,yes,4,458,559,27,521,542,10,596,572,606,582,4,40,40,40,40,1017,1063,1168,1188,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
yes,yes,yes,yes,7,445,459,18,553,526,22,579,557,624,589,8,9,9,9,9,904,1079,1136,1213,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1
no,no,yes,yes,,,,,,,23,577,545,629,599,9,,,9,9,,,1122,1228,,,1,1,,,0,0,1,0,0,0,,,1,1
yes,yes,no,no,17,439,506,14,451,538,,,,,,,48,48,,,945,989,,,1,1,,,0,0,,,1,0,0,1,0,1,,
yes,yes,yes,yes,12,476,576,15,564,601,14,637,620,686,700,36,10,10,10,10,1052,1165,1257,1386,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
no,yes,yes,yes,,,,first year teacher,530,567,1,555,615,675,608,3,,45,45,45,,1097,1170,1283,,0,0,0,,0,0,0,0,1,0,1,,1,1,1
no,yes,no,no,,,,1,590,592,,,,,,,,64,,,,1182,,,,1,,,,0,,,1,0,0,0,,0,,
yes,yes,yes,yes,4,467,484,2,604,567,2,659,626,686,663,13,80,80,80,80,951,1171,1285,1349,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
no,no,no,yes,,,,,,,,,,606,591,9,,,,63,,,,1197,,,,0,,,,0,1,0,0,1,,,,0
no,no,no,yes,,,,,,,,,,,,7,,,,59,,,,,,,,0,,,,0,1,0,0,1,,,,0
yes,yes,yes,yes,10,416,434,5,454,510,13,,,624,601,3,28,28,28,28,850,964,,1225,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1
yes,no,no,yes,first year teacher,480,528,,,,,,,657,663,5,43,,,43,1008,,,1320,1,,,1,0,,,0,1,0,0,1,0,,,0
no,no,yes,no,,,,,,,15,618,639,,,,,,77,,,,1257,,,,0,,,,1,,1,0,0,0,,,1,
no,no,no,yes,,,,,,,,,,593,604,10,,,,39,,,,1197,,,,0,,,,1,1,0,0,1,,,,1
yes,no,no,no,16,437,478,,,,,,,,,,41,,,,915,,,,0,,,,1,,,,1,0,0,0,0,,,
no,no,no,yes,,,,,,,,,,602,567,25,,,,15,,,,1169,,,,0,,,,1,0,1,0,1,,,,1
yes,yes,yes,yes,18,465,602,18,590,612,15,650,699,665,726,5,41,41,41,41,1067,1202,1349,1391,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
no,yes,yes,yes,,,,7,604,538,8,611,563,639,624,8,,50,50,50,,1142,1174,1263,,0,0,0,,0,0,0,1,0,0,1,,0,1,0
no,yes,yes,yes,,,,1,492,490,12,526,504,573,556,14,,22,22,22,,982,1030,1129,,0,0,0,,0,0,1,0,1,0,0,,0,1,0
no,no,no,yes,,,,,,,,,,614,603,10,,,,23,,,,1217,,,,0,,,,0,0,1,0,1,,,,1
yes,yes,yes,no,4,407,439,2,460,510,28,499,492,,,,40,40,40,,846,970,991,,1,1,1,,0,0,0,,1,0,0,0,1,1,1,
yes,yes,yes,yes,12,487,547,5,509,526,35,579,620,633,634,9,27,27,27,27,1034,1035,1199,1267,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
yes,yes,no,no,8,425,489,10,516,578,,,,,,,61,61,,,914,1094,,,0,0,,,1,0,,,1,0,0,1,0,0,,
yes,yes,yes,yes,14,447,500,4,487,497,25,560,528,560,585,21,21,21,21,21,947,984,1088,1145,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
no,no,yes,yes,,,,,,,11,549,572,585,596,19,,,75,75,,,1121,1181,,,0,0,,,0,0,1,0,0,1,,,0,0
yes,yes,yes,yes,13,430,468,6,590,542,17,622,577,647,614,10,8,8,8,8,898,1132,1199,1261,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
yes,no,no,no,15,,444,,,,,,,,,,43,,,,,,,,1,,,,0,,,,1,0,0,0,0,,,
no,yes,no,no,,,,first year teacher,540,526,,,,,,,,48,,,,1066,,,,0,,,,1,,,1,0,0,1,,0,,
no,yes,no,no,,,,7,442,472,,,,,,,,2,,,,914,,,,0,,,,1,,,1,0,0,0,,1,,
yes,no,no,no,2,,,,,,,,,,,,28,,,,,,,,1,,,,0,,,,0,1,0,0,1,,,
no,no,yes,yes,,,,,,,15,515,500,,,16,,,9,9,,,1015,,,,0,0,,,0,0,1,0,0,1,,,0,
yes,no,no,no,14,480,547,,,,,,,,,,21,,,,1027,,,,1,,,,0,,,,1,0,0,0,0,,,
no,no,yes,yes,,,,,,,19,591,582,610,622,16,,,9,9,,,1173,1232,,,0,0,,,1,1,1,0,0,0,,,0,1
no,no,yes,no,,,,,,,8,,,,,,,,1,,,,,,,,1,,,,0,,,,,0,,,1,
no,no,yes,no,,,,,,,27,,,,,,,,67,,,,,,,,0,,,,1,,0,0,1,0,,,1,
no,yes,no,yes,,,,23,590,512,,,,620,601,21,,3,,3,,1102,,1221,,0,,0,,0,,0,1,0,0,1,,0,,0
yes,yes,yes,yes,5,440,513,2,604,545,19,643,570,633,596,1,47,47,47,47,953,1149,1213,1229,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
no,yes,no,no,,,,5,445,474,,,,,,,,2,,,,919,,,,0,,,,0,,,1,0,0,0,,1,,
no,no,no,yes,,,,,,,,,,616,596,13,,,,26,,,,1212,,,,0,,,,1,0,1,0,0,,,,1
no,no,no,yes,,,,,,,,,,,,12,,,,79,,,,,,,,1,,,,0,1,0,0,1,,,,0
yes,yes,yes,yes,13,410,405,16,475,495,4,547,535,562,582,14,11,11,11,11,815,970,1082,1144,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1
yes,no,no,no,3,,288,,,,,,,,,,22,,,,,,,,1,,,,0,,,,0,1,0,1,1,,,
yes,yes,yes,yes,5,413,506,11,533,578,8,588,587,644,663,16,35,35,34,34,919,1111,1175,1307,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
yes,no,yes,no,1,422,513,,,,16,542,512,,,,21,,16,,935,,1054,,0,,0,,0,,1,,0,1,0,0,1,,1,
yes,yes,yes,yes,5,442,559,23,629,627,,631,626,654,678,24,24,24,24,24,1001,1256,1257,1332,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
no,no,no,yes,,,,,,,,,,,,18,,,,39,,,,,,,,0,,,,0,1,0,0,1,,,,1
no,no,yes,yes,,,,,,,8,566,574,606,612,15,,,2,2,,,1140,1218,,,0,0,,,0,0,1,0,0,0,,,1,1
no,no,yes,no,,,,,,,18,529,518,,,,,,21,,,,1047,,,,0,,,,1,,0,1,0,1,,,1,
yes,yes,yes,yes,10,461,547,3,480,553,4,573,659,631,612,15,27,27,27,27,1008,1033,1232,1243,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1
yes,yes,no,no,22,421,454,7,444,477,,,,,,,33,33,,,875,921,,,0,0,,,1,1,,,0,1,0,1,1,1,,
no,no,yes,no,,,,,,,4,564,561,,,,,,64,,,,1125,,,,0,,,,1,,1,0,0,1,,,0,
yes,no,no,no,1,,,,,,,,,,,,60,,,,,,,,1,,,,0,,,,1,0,0,0,1,,,
no,no,no,yes,,,,,,,,,,582,562,9,,,,34,,,,1144,,,,0,,,,1,0,1,0,1,,,,1
no,yes,yes,yes,,,,13,564,584,15,554,514,559,596,24,,7,7,7,,1148,1068,1155,,0,0,0,,0,0,0,1,0,0,0,,1,1,1
no,no,yes,no,,,,,,,12,650,599,,,,,,5,,,,1249,,,,1,,,,0,,1,0,0,1,,,0,
no,no,no,yes,,,,,,,,,,580,608,5,,,,13,,,,1188,,,,0,,,,1,1,0,0,1,,,,
yes,no,no,no,2,410,494,,,,,,,,,,19,,,,904,,,,1,,,,0,,,,0,1,0,0,1,,,
no,no,no,yes,,,,,,,,,,588,586,20,,,,54,,,,1174,,,,1,,,,0,1,0,0,0,,,,0
no,no,yes,no,,,,,,,2,,,,,,,,14,,,,,,,,0,,,,0,,0,1,0,1,,,1,
no,yes,no,no,,,,8,527,481,,,,,,,,5,,,,1008,,,,0,,,,1,,,1,0,0,0,,1,,
yes,yes,yes,yes,2,465,626,17,439,472,2,533,541,583,603,3,30,30,30,30,1091,911,1074,1186,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
no,yes,yes,yes,,,,19,471,486,19,555,587,618,642,24,,46,46,46,,957,1142,1260,,0,0,0,,0,0,0,1,0,0,1,,0,0,0
no,no,yes,yes,,,,,,,4,627,639,654,678,16,,,64,64,,,1266,1332,,,0,0,,,1,1,1,0,0,1,,,0,0
no,no,no,yes,,,,,,,,,,680,691,9,,,,56,,,,1371,,,,0,,,,0,1,0,0,0,,,,0
no,yes,yes,no,,,,11,509,484,11,554,517,,,,,15,15,,,993,1071,,,0,0,,,0,0,,0,1,0,1,,1,1,
no,no,no,yes,,,,,,,,,,583,546,19,,,,53,,,,1129,,,,0,,,,0,0,1,0,0,,,,0
yes,yes,yes,yes,11,436,500,20,482,518,15,593,568,,655,13,49,49,49,49,936,1000,1161,,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
no,yes,yes,no,,,,5,436,486,,549,505,,,,,16,19,,,922,1054,,,0,0,,,0,1,,0,1,0,1,,1,1,
no,no,yes,no,,,,,,,27,,,,,,,,67,,,,,,,,0,,,,1,,0,0,1,0,,,1,
yes,yes,no,no,5,398,449,12,478,493,,,,,,,39,39,,,847,971,,,0,0,,,1,0,,,1,0,0,1,1,0,,
yes,yes,no,no,8,442,528,10,536,601,,,,,,,61,61,,,970,1137,,,0,0,,,1,0,,,1,0,0,0,0,0,,
no,yes,no,no,,,,6,483,518,,,,,,,,22,,,,1001,,,,0,,,,1,,,0,1,0,1,,1,,
yes,no,no,no,11,461,500,,,,,,,,,,9,,,,961,,,,0,,,,1,,,,1,0,0,1,0,,,
no,no,yes,no,,,,,,,9,,,,,,,,12,,,,,,,,0,,,,0,,1,0,0,0,,,1,
yes,yes,yes,yes,13,436,506,7,,553,8,579,639,593,631,8,50,50,50,50,942,,1218,1224,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
no,no,yes,yes,,,,,,,8,,,555,559,19,,,73,73,,,,1114,,,0,0,,,1,1,1,0,0,0,,,1,1
no,yes,no,no,,,,33,540,520,,,,,,,,21,,,,1060,,,,0,,,,0,,,1,0,0,0,,1,,
no,no,yes,yes,,,,,,,33,637,587,629,634,7,,,75,75,,,1224,1263,,,0,0,,,1,1,1,0,0,1,,,0,0
yes,yes,no,no,5,428,473,20,442,470,,,,,,,17,17,,,901,912,,,1,0,,,0,1,,,1,0,0,1,0,0,,
no,no,no,yes,,,,,,,,,,639,648,19,,,,41,,,,1287,,,,0,,,,0,1,0,0,0,,,,0
no,no,no,yes,,,,,,,,,,564,588,28,,,,1,,,,1152,,,,1,,,,0,0,1,0,1,,,,1
yes,yes,no,no,first year teacher,411,444,14,414,444,,,,,,,31,31,,,855,858,,,0,0,,,0,0,,,0,1,0,1,1,1,,
yes,yes,yes,yes,5,436,459,2,544,532,22,614,639,644,659,10,39,39,39,39,895,1076,1253,1303,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0
no,no,yes,yes,,,,,,,9,523,518,560,570,2,,,29,29,,,1041,1130,,,0,0,,,0,0,0,1,0,0,,,1,1
no,no,yes,yes,,,,,,,9,544,579,582,634,2,,,29,29,,,1123,1216,,,0,0,,,0,0,0,1,0,1,,,1,1
yes,yes,yes,yes,6,,,19,492,520,2,555,563,564,579,5,33,33,33,33,,1012,1118,1143,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
yes,no,no,no,4,436,463,,,,,,,,,,46,,,,899,,,,1,,,,0,,,,1,0,0,0,0,,,
yes,yes,yes,yes,12,428,559,39,571,612,9,614,699,693,684,16,12,12,12,12,987,1183,1313,1377,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0
yes,yes,yes,yes,5,472,536,10,579,601,13,650,639,670,700,30,1,1,1,1,1008,1180,1289,1370,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
yes,yes,yes,yes,11,434,473,first year teacher,604,592,1,604,639,641,726,3,45,45,45,45,907,1196,1243,1367,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0
yes,yes,yes,yes,8,443,500,3,629,578,12,643,632,654,691,14,78,78,78,78,943,1207,1275,1345,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
yes,yes,yes,yes,2,424,520,19,571,601,12,659,659,675,684,3,39,39,39,39,944,1172,1318,1359,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1
yes,yes,yes,yes,22,418,473,32,499,500,first year teacher,568,599,606,604,first year teacher,33,33,33,33,891,999,1167,1210,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1
yes,yes,no,no,11,428,500,1,503,493,,,,,,,22,22,,,928,996,,,0,0,,,0,0,,,0,1,0,1,1,1,,
no,yes,no,no,,,,2,477,510,,,,,,,,28,,,,987,,,,0,,,,0,,,0,1,0,0,,1,,
yes,yes,yes,yes,14,440,468,4,438,477,14,533,572,569,559,8,32,32,32,32,908,915,1105,1128,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1
yes,yes,yes,yes,7,436,513,9,544,592,15,618,574,650,642,18,4,4,4,4,949,1136,1192,1292,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
yes,no,no,no,13,433,506,,,,,,,,,,14,,,,939,,,,1,,,,0,,,,0,1,0,1,0,,,
yes,yes,yes,yes,8,448,473,16,544,532,12,,,657,639,19,17,17,17,17,921,1076,,1296,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
yes,yes,yes,yes,3,474,506,1,468,500,12,523,522,529,515,7,44,44,44,44,980,968,1045,1044,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1
no,yes,yes,no,,,,2,499,510,16,588,538,,,,,16,16,,,1009,1126,,,0,0,,,0,1,,0,1,0,0,,1,,
yes,yes,yes,yes,15,414,484,16,490,512,31,541,577,597,645,first year teacher,7,7,7,7,898,1002,1118,1242,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1
no,yes,yes,no,,,,6,445,495,4,500,538,,,,,28,28,,,940,1038,,,0,0,,,1,1,,0,1,0,1,,1,1,
no,yes,yes,yes,,,,3,,,13,627,639,661,645,8,,73,73,73,,,1266,1306,,1,1,1,,0,0,0,1,0,0,0,,1,1,1
no,yes,no,no,,,,8,,,,,,,,,,66,,,,,,,,0,,,,1,,,1,0,0,1,,0,,
no,no,yes,yes,,,,,,,,533,590,590,645,22,,,24,24,,,1123,1235,,,0,0,,,1,1,0,1,0,1,,,0,0
yes,yes,no,no,20,411,468,6,507,535,,,,,,,71,71,,,879,1042,,,1,1,,,0,0,,,1,0,0,0,0,1,,
yes,yes,yes,yes,11,422,468,4,527,520,28,637,639,650,648,11,23,23,23,23,890,1047,1276,1298,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
yes,yes,yes,yes,20,395,412,6,478,495,8,596,582,624,639,11,71,71,72,72,807,973,1178,1263,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0
no,no,yes,yes,,,,,,,17,643,590,647,631,38,,,9,9,,,1233,1278,,,0,0,,,1,1,1,0,0,0,,,0,0
no,no,yes,yes,,,,,,,12,571,540,554,597,18,,,17,17,,,1111,1151,,,0,0,,,1,1,0,1,0,0,,,1,1
yes,yes,yes,yes,6,407,459,4,457,502,28,557,561,599,597,,24,24,24,24,866,959,1118,1196,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1
no,no,yes,no,,,,,,,1,614,626,,,,,,39,,,,1240,,,,0,,,,0,,1,0,0,0,,,,
yes,yes,yes,yes,11,472,506,28,590,545,4,604,584,641,636,16,64,64,64,64,978,1135,1188,1277,0,0,0,0,0,1,1,1,1,0,0,0,0,,0,0
yes,yes,no,yes,12,402,463,7,,,,,,612,603,15,2,2,,2,865,,,1215,1,0,,0,0,1,,0,1,0,0,0,1,1,,1
yes,yes,yes,yes,6,428,500,4,540,549,22,631,596,654,616,14,71,71,71,71,928,1089,1227,1270,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,0
yes,no,no,no,12,413,463,,,,,,,,,,8,,,,876,,,,0,,,,0,,,,1,0,0,1,0,,,
no,yes,no,no,,,,4,475,497,,,,,,,,54,,,,972,,,,0,,,,1,,,0,1,0,1,,0,,
no,yes,yes,yes,,,,13,564,557,19,575,584,,,19,,73,73,73,,1121,1159,,,0,0,0,,0,0,1,1,0,0,0,,1,1,
